frame.time_epoch,eth.src,eth.dst,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,arp.isgratuitous
1778013859.806257038,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.33,
1778013859.806257088,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.34,
1778013859.806909391,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.35,
1778013859.806909531,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.36,
1778013859.806909592,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.37,
1778013859.806909652,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.38,
1778013859.807400815,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.39,
1778013859.807400956,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.40,
1778013859.807401016,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.41,
1778013859.807401076,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.42,
1778013859.807887610,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.43,
1778013859.807887750,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.44,
1778013859.807887811,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.45,
1778013859.807887871,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.46,
1778013859.807887931,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.47,
1778013859.808512024,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.48,
1778013859.808512165,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.49,
1778013859.808512225,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.50,
1778013859.808512285,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.51,
1778013859.808512336,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.52,
1778013859.809105914,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.53,
1778013859.809106055,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.54,
1778013859.809106115,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.55,
1778013859.809106175,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.56,
1778013859.809677989,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.57,
1778013859.809678139,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.58,
1778013859.809678199,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.59,
1778013859.809678249,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.60,
1778013859.810179003,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.61,
1778013859.810179133,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.62,
1778013859.810179193,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.63,
1778013859.810179243,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.64,
1778013859.810179303,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.65,
1778013859.810790940,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.66,
1778013859.810791081,62:5e:34:e9:d2:73,ff:ff:ff:ff:ff:ff,1,62:5e:34:e9:d2:73,192.168.1.9,00:00:00:00:00:00,192.168.1.67,
